;HORA;CALLE;NUMERO;LESIVIDAD*
353;9:45;CALL. SAN EPIFANIO;7;
354;19:55;C�ADA. REAL GALIANA;4;1.0
355;19:38;CALL. GENERAL LACY / CALL. ANCORA;-;1.0
356;15:07;CALL. MARQUESA DE TORRECILLA / CALL. MISTERIOS;-;7.0
357;21:40;RONDA. SUR;129;6.0
358;19:40;CALL. SANTA ENGRACIA;141;
359;18:30;CALL. IRUN / CALL. CADARSO;-;6.0
360;22:16;CALL. JORGE JUAN / CALL. FERNAN GONZALEZ;-;7.0
361;21:35;CALL. JACOMETREZO;15;
362;21:35;CALL. JACOMETREZO;15;2.0
363;20:38;AVDA. MONASTERIO DE SILOS;90;2.0
364;20:35;GTA. SANTUARIO DE TISCAR;0;2.0
365;10:50;CALL. MAQUEDA;66;7.0
366;9:20;PASEO. PRADO / CALL. ALCALA;-;7.0
367;23:55;PASEO. VIRGEN DEL PUERTO;45;7.0
368;10:50;AUTOV. M-607, +01500E;-;5.0
369;10:50;AUTOV. M-607, +01500E;-;7.0
370;9:25;CALL. EMBAJADORES, 330  FRENTE ENTRADA CAJA M�GIA;-;2.0
371;8:50;PLAZA. ELIPTICA;1;
372;0:15;GTA. RUIZ JIMENEZ / CALL. SAN BERNARDO;-;1.0
373;16:40;PASEO. GENERAL MARTINEZ CAMPOS;53;7.0
374;11:47;CALL. VILLAVICIOSA;36;1.0
375;3:55;CALL. RIOS ROSAS / CALL. PONZANO;-;7.0
376;23:00;CALL. SEGOVIA / RONDA. SEGOVIA;-;7.0
377;20:45;AVDA. BETANZOS;37;
378;10:40;CALL. BRAVO MURILLO;226;14.0
379;8:50;PLAZA. SAN JUAN DE LA CRUZ / PASEO. CASTELLANA;-;6.0
380;12:30;PQUE. VALDEBERNARDO;0;2.0
381;14:25;AVDA. BETANZOS;22;7.0
382;10:30;AVDA. MONASTERIO DE EL ESCORIAL / AVDA. SANTUARIO DE VALVERDE;-;
383;0:14;CALL. EMBAJADORES / CALL. LABRADORES;-;14.0
384;17:27;CALL. SAN TELESFORO;13;
385;16:10;CALL. ELOY GONZALO / CALL. SANTISIMA TRINIDAD;-;
386;13:05;PASEO. JUAN ANTONIO VALLEJO-NAJERA BOTAS;4;1.0
387;13:05;PASEO. JUAN ANTONIO VALLEJO-NAJERA BOTAS;4;14.0
388;0:40;PLAZA. EMPERADOR CARLOS V;8;14.0
389;19:50;CALL. SERRANO;84;7.0
390;19:50;CALL. SERRANO;84;14.0
391;18:40;CALL. ALCALA;317;1.0
392;20:15;AVDA. CORDOBA;21;1.0
393;20:00;CALL. VIRGEN DE LA ALEGRIA;21;3.0
394;18:00;CALL. BRAVO MURILLO;246;5.0
395;9:15;PASEO. PONTONES / CALL. COBOS DE SEGOVIA;-;5.0
396;7:25;AVENIDA DE LA GAVIA-AVENIDA DEL MAYORAZGO;-;7.0
397;19:30;CALL. RAIMUNDO FERNANDEZ VILLAVERDE;54;3.0
398;4:30;CALL. JOSE ABASCAL / CALL. FERNANDEZ DE LA HOZ;-;7.0
399;19:40;PLAZA. INDEPENDENCIA;8;7.0
400;17:06;PASEO. INFANTA ISABEL;4;14.0
401;16:20;CALL. CRISTOBAL BORDIU;39;7.0
402;20:15;CALL. TOMAS BRETON;2;
403;8:38;CALL. LEONOR LOPEZ DE CORDOBA / AUTOV. M-40;-;7.0
404;23:00;CALL. MARCELO USERA;1;
405;23:00;CALL. MARCELO USERA;1;1.0
406;21:00;CALL. BRAVO MURILLO;231;2.0
407;20:00;AVDA. MAYORAZGO / CALL. CINCOVILLAS;-;7.0
408;13:37;CALL. RAFAEL BERGAMIN; 20A;2.0
409;11:15;CALL. PUEBLA / CALL. BARCO;-;2.0
410;11:00;CALL. SAN BERNARDO;83;1.0
411;19:20;PQUE. MADRID RIO / GTA. PUENTE DE SEGOVIA;-;2.0
412;16:45;CALL. GENERAL RICARDOS;18;14.0
413;16:45;CALL. GENERAL RICARDOS;18;7.0
414;8:30;GTA. SANTUARIO DE TISCAR / AVDA. MONASTERIO DE EL ESCORIAL;-;6.0
415;8:30;GTA. SANTUARIO DE TISCAR / AVDA. MONASTERIO DE EL ESCORIAL;-;6.0
416;16:00;GTA. PUENTE DE SEGOVIA;1;2.0
417;7:57;IDB. PARQUE LINEAL DEL MANZANARES;0;7.0
